,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
5503,Newcastle,Everton,3,2,H,19,27,26,28,1.2105263157894737,1.105263157894737,L,L,L,L,L,W,10.0,5.0,19.0,5.0,-0.3684210526315789,-0.05263157894736842,LLL,LLW,0,3,-0.15789473684210525
5504,QPR,Crystal Palace,0,0,D,21,20,34,30,0.8947368421052632,0.7894736842105263,L,W,L,L,L,D,18.0,11.0,19.0,7.0,-0.6842105263157895,-0.5263157894736842,LWL,LLD,3,1,0.10526315789473684
5505,Southampton,Chelsea,1,1,D,31,40,14,13,1.6842105263157894,2.3684210526315788,W,W,L,W,W,W,8.0,3.0,19.0,5.0,0.8947368421052632,1.4210526315789473,WWL,WWW,6,9,-0.15789473684210525
5506,Stoke,West Brom,2,0,H,19,18,23,26,1.1578947368421053,0.8947368421052632,W,L,D,L,L,W,9.0,17.0,19.0,-8.0,-0.21052631578947367,-0.42105263157894735,WLD,LLW,4,3,0.05263157894736842
5507,Tottenham,Man United,0,0,D,24,33,24,19,1.5789473684210527,1.8421052631578947,W,W,W,W,D,W,6.0,7.0,19.0,-1.0,0.0,0.7368421052631579,WWW,WDW,9,7,0.10526315789473684
5508,West Ham,Arsenal,1,2,A,29,32,21,22,1.631578947368421,1.5789473684210527,L,W,D,W,D,W,13.0,4.0,19.0,9.0,0.42105263157894735,0.5263157894736842,LWD,WDW,4,7,-0.15789473684210525
5509,Liverpool,Swansea,4,1,H,22,23,24,19,1.3157894736842106,1.4736842105263157,W,D,L,W,W,L,2.0,12.0,19.0,-10.0,-0.10526315789473684,0.21052631578947367,WDL,WWL,4,6,-0.10526315789473684
5510,Aston Villa,Crystal Palace,0,0,D,11,20,22,30,1.05,0.8,D,L,D,D,L,L,15.0,11.0,20.0,4.0,-0.55,-0.5,DLD,DLL,2,1,0.05
5511,Hull,Everton,2,0,H,18,29,26,31,0.8,1.05,L,W,L,L,L,L,16.0,5.0,20.0,11.0,-0.4,-0.1,LWL,LLL,3,0,0.15
5512,Liverpool,Leicester,2,2,D,26,17,25,31,1.4,0.65,W,W,D,W,L,L,2.0,18.0,20.0,-16.0,0.05,-0.7,WWD,WLL,7,3,0.2
5513,Man City,Sunderland,3,2,H,41,16,17,27,2.15,1.0,D,W,W,D,L,W,1.0,14.0,20.0,-13.0,1.2,-0.55,DWW,DLW,7,4,0.15
5514,Newcastle,Burnley,3,3,D,22,14,28,29,1.3,0.8,W,L,L,D,L,L,10.0,18.0,20.0,-8.0,-0.3,-0.75,WLL,DLL,3,1,0.1
5515,QPR,Swansea,1,1,D,21,24,34,23,0.9,1.4,D,L,W,L,W,W,18.0,12.0,20.0,6.0,-0.65,0.05,DLW,LWW,4,6,-0.1
5516,Southampton,Arsenal,2,0,H,32,34,15,23,1.65,1.65,D,W,W,W,W,D,8.0,4.0,20.0,4.0,0.85,0.55,DWW,WWD,7,7,0.0
5517,Stoke,Man United,1,1,D,21,33,23,19,1.25,1.8,W,W,L,D,W,D,9.0,7.0,20.0,2.0,-0.1,0.7,WWL,DWD,6,5,0.05
5518,Tottenham,Chelsea,5,3,H,24,41,24,14,1.55,2.3,D,W,W,D,W,W,6.0,3.0,20.0,3.0,0.0,1.35,DWW,DWW,7,7,0.0
5519,West Ham,West Brom,1,1,D,30,18,23,28,1.55,0.85,L,L,W,L,L,L,13.0,17.0,20.0,-4.0,0.35,-0.5,LLW,LLL,3,0,0.15
5520,Burnley,QPR,2,1,H,17,22,32,35,0.8095238095238095,0.9047619047619048,D,D,L,D,D,L,18.0,18.0,21.0,0.0,-0.7142857142857143,-0.6190476190476191,DDL,DDL,2,2,0.0
5521,Chelsea,Newcastle,2,0,H,44,25,19,31,2.1904761904761907,1.2857142857142858,L,D,W,D,W,L,3.0,10.0,21.0,-7.0,1.1904761904761905,-0.2857142857142857,LDW,DWL,4,4,0.0
5522,Crystal Palace,Tottenham,2,1,H,20,29,30,27,0.8095238095238095,1.619047619047619,D,D,L,W,D,W,11.0,6.0,21.0,5.0,-0.47619047619047616,0.09523809523809523,DDL,WDW,2,7,-0.23809523809523808
